player_name,saison,competition_type,competition,club,games_played,goals,assists,owngoals,substitute_in,substitute_out,yellow_cards,yellow_red_cards,red_cards,penalties,minutes_played
Lionel Messi,08/09,Nationale Ligen,LaLiga,FC Barcelona,31,23,13,0,4,4,2,0,0,3,2.513'
Lionel Messi,07/08,Nationale Ligen,LaLiga,FC Barcelona,28,10,14,0,5,10,2,0,0,4,2.003'
Lionel Messi,06/07,Nationale Ligen,LaLiga,FC Barcelona,26,14,2,0,3,9,2,0,0,0,2.001'
Lionel Messi,05/06,Nationale Ligen,LaLiga,FC Barcelona,17,6,2,0,6,10,2,0,0,0,912'
Lionel Messi,04/05,Nationale Ligen,Segunda División B - Grupo III (-20/21),FC Barcelona B,17,6,1,0,0,2,3,0,1,0,1.515'
Lionel Messi,04/05,Nationale Ligen,LaLiga,FC Barcelona,7,1,0,0,7,0,0,0,0,0,76'
Lionel Messi,03/04,Nationale Ligen,Segunda División B - Grupo III (-20/21),FC Barcelona B,5,0,0,0,0,2,1,0,0,0,404'
Lionel Messi,2023,Nationale Pokalwettbewerbe,US Open Cup,Inter Miami CF,1,0,2,0,0,0,0,0,0,0,120'
Lionel Messi,22/23,Nationale Pokalwettbewerbe,Coupe de France,FC Paris Saint-Germain,1,0,0,0,0,0,0,0,0,0,90'
Lionel Messi,22/23,Nationale Pokalwettbewerbe,Trophée des Champions,FC Paris Saint-Germain,1,1,0,0,0,0,0,0,0,0,90'
Lionel Messi,21/22,Nationale Pokalwettbewerbe,Coupe de France,FC Paris Saint-Germain,1,0,0,0,0,0,0,0,0,0,90'
Lionel Messi,20/21,Nationale Pokalwettbewerbe,Copa del Rey,FC Barcelona,5,3,1,0,0,0,2,0,0,0,510'
Lionel Messi,20/21,Nationale Pokalwettbewerbe,Supercopa,FC Barcelona,1,0,0,0,0,0,0,0,1,0,120'
Lionel Messi,19/20,Nationale Pokalwettbewerbe,Copa del Rey,FC Barcelona,2,2,1,0,0,0,1,0,0,0,180'
Lionel Messi,19/20,Nationale Pokalwettbewerbe,Supercopa,FC Barcelona,1,1,0,0,0,0,0,0,0,0,90'
Lionel Messi,18/19,Nationale Pokalwettbewerbe,Copa del Rey,FC Barcelona,5,3,3,0,1,0,0,0,0,0,387'
Lionel Messi,18/19,Nationale Pokalwettbewerbe,Supercopa,FC Barcelona,1,0,2,0,0,0,0,0,0,0,90'
Lionel Messi,17/18,Nationale Pokalwettbewerbe,Copa del Rey,FC Barcelona,6,4,4,0,0,1,1,0,0,0,509'
Lionel Messi,17/18,Nationale Pokalwettbewerbe,Supercopa,FC Barcelona,2,1,0,0,0,0,1,0,0,1,180'
Lionel Messi,16/17,Nationale Pokalwettbewerbe,Copa del Rey,FC Barcelona,7,5,4,0,0,0,3,0,0,1,630'
Lionel Messi,16/17,Nationale Pokalwettbewerbe,Supercopa,FC Barcelona,2,1,2,0,0,0,0,0,0,0,180'
Lionel Messi,15/16,Nationale Pokalwettbewerbe,Copa del Rey,FC Barcelona,5,5,6,0,0,0,1,0,0,0,480'
Lionel Messi,15/16,Nationale Pokalwettbewerbe,Supercopa,FC Barcelona,2,1,0,0,0,0,0,0,0,0,180'
Lionel Messi,14/15,Nationale Pokalwettbewerbe,Copa del Rey,FC Barcelona,6,5,4,0,0,0,1,0,0,1,540'
