game_id,player_current_club,tournament,gameday,venue_country,venue_city,venue,date,team,opponent,result,player_position,goal_amount,assists_amount,own_goals_amount,yellow_card,yellow_red_card,red_card
1043566,Real Madrid,Freundschaftsspiele,,Portugal,Lissabon,H,2010-11-17,Portugal,Spanien,4:0,LA,0,1,0,9',,
1078435,Real Madrid,Freundschaftsspiele,,Schweiz,Carouge,H,2011-02-09,Portugal,Argentinien,1:2,LA,1,0,0,,,
1076898,Real Madrid,EM-Qualifikation,Gruppe H,Portugal,Lissabon,H,2011-06-04,Portugal,Norwegen,1:0,LA,0,0,0,,,
1137112,Real Madrid,Freundschaftsspiele,,Portugal,Faro,H,2011-08-10,Portugal,Luxemburg,5:0,RA,1,1,0,,,
1076900,Real Madrid,EM-Qualifikation,Gruppe H,Zypern,Nicosia,A,2011-09-02,Portugal,Zypern,4:0,LA,2,1,0,83',,
1076904,Real Madrid,EM-Qualifikation,Gruppe H,Portugal,Porto,H,2011-10-07,Portugal,Island,5:3,LA,0,0,0,,,
1076906,Real Madrid,EM-Qualifikation,Gruppe H,Dänemark,København Ø.,A,2011-10-11,Portugal,Dänemark,1:2,LA,1,0,0,,,
1157850,Real Madrid,EM-Qualifikation Playoff,Relegation Hinspiele,Bosnien-Herzegowina,Zenica,A,2011-11-11,Portugal,Bosnien-Herzegowina,0:0,LA,0,0,0,,,
1157857,Real Madrid,EM-Qualifikation Playoff,Relegation Rückspiele,Portugal,Lissabon,H,2011-11-15,Portugal,Bosnien-Herzegowina,6:2,LA,2,0,0,,,
1179880,Real Madrid,Freundschaftsspiele,,Polen,Warszawa,A,2012-02-29,Portugal,Polen,0:0,LA,0,0,0,,,
2214058,Real Madrid,Freundschaftsspiele,,Portugal,Leiria,H,2012-05-26,Portugal,Mazedonien,0:0,LA,0,0,0,,,
2207004,Real Madrid,Freundschaftsspiele,,Portugal,Lissabon,H,2012-06-02,Portugal,Türkei,1:3,LA,0,1,0,,,
1168999,Real Madrid,Europameisterschaft 2012,Gruppe B,Ukraine,Lviv,A,2012-06-09,Portugal,Deutschland,0:1,LA,0,0,0,,,
1169001,Real Madrid,Europameisterschaft 2012,Gruppe B,Ukraine,Lviv,A,2012-06-13,Portugal,Dänemark,3:2,LA,0,0,0,90',,
1169002,Real Madrid,Europameisterschaft 2012,Gruppe B,Ukraine,Kharkiv,H,2012-06-17,Portugal,Niederlande,2:1,LA,2,0,0,,,
2219366,Real Madrid,Europameisterschaft 2012,Viertelfinale,Polen,Warszawa,A,2012-06-21,Portugal,Tschechien,1:0,LA,1,0,0,,,
2221241,Real Madrid,Europameisterschaft 2012,Halbfinale,Ukraine,Donetsk,H,2012-06-27,Portugal,Spanien,2:4 n.E.,LA,0,0,0,,,
2255564,Real Madrid,Freundschaftsspiele,,Portugal,Faro,H,2012-08-15,Portugal,Panama,2:0,LA,1,0,0,,,
2262614,Real Madrid,WM-Qualifikation Europa,Gruppe F,Luxemburg,Luxemburg,A,2012-09-07,Portugal,Luxemburg,2:1,LA,1,0,0,,,
2262617,Real Madrid,WM-Qualifikation Europa,Gruppe F,Portugal,Braga,H,2012-09-11,Portugal,Aserbaidschan,3:0,LA,0,2,0,90',,
2262618,Real Madrid,WM-Qualifikation Europa,Gruppe F,Russland,Moskau,A,2012-10-12,Portugal,Russland,0:1,LA,0,0,0,,,
2262620,Real Madrid,WM-Qualifikation Europa,Gruppe F,Portugal,Porto,H,2012-10-16,Portugal,Nordirland,1:1,LA,0,0,0,,,
2289048,Real Madrid,Freundschaftsspiele,,Portugal,Guimarães,H,2013-02-06,Portugal,Ecuador,2:3,LA,1,0,0,,,
2262624,Real Madrid,WM-Qualifikation Europa,Gruppe F,Israel,"Ramat Gan, Tel Aviv",A,2013-03-22,Portugal,Israel,3:3,LA,0,1,0,72',,
2262629,Real Madrid,WM-Qualifikation Europa,Gruppe F,Portugal,Lissabon,H,2013-06-07,Portugal,Russland,1:0,LA,0,0,0,,,
2319931,Real Madrid,Freundschaftsspiele,,Schweiz,Carouge,A,2013-06-10,Portugal,Kroatien,1:0,LA,1,0,0,,,
2361418,Real Madrid,Freundschaftsspiele,,Portugal,Faro,H,2013-08-14,Portugal,Niederlande,1:1,LA,1,0,0,,,
2262631,Real Madrid,WM-Qualifikation Europa,Gruppe F,Nordirland,Belfast,A,2013-09-06,Portugal,Nordirland,4:2,LA,3,0,0,44',,
2262637,Real Madrid,WM-Qualifikation Europa,Gruppe F,Portugal,Lissabon,H,2013-10-11,Portugal,Israel,1:1,LA,0,0,0,90',,
2372902,Real Madrid,WM-Qualifikation Playoff,Qualifikationsrunde - Hinspiele,Portugal,Lissabon,H,2013-11-15,Portugal,Schweden,1:0,LA,1,0,0,77',,
2372906,Real Madrid,WM-Qualifikation Playoff,Qualifikationsrunde - Rückspiele,Schweden,Stockholm,A,2013-11-19,Portugal,Schweden,3:2,LA,3,0,0,,,
