player_name,game_id,saison,league,gameday,venue,team,team_table_position,opponent,opponent_table_position,result,player_position,goal_minute,goal_score,goal_type,goal_added_time,added_time
Lionel Messi,1036283,2010,LaLiga,22,H,FC Barcelona,1,Atlético Madrid,8,3:0,MS,78,3:0,Linksschuss,0,0
Lionel Messi,1036310,2010,LaLiga,24,H,FC Barcelona,1,Athletic Bilbao,5,2:1,MS,78,2:1,Rechtsschuss,0,0
Lionel Messi,1036312,2010,LaLiga,25,A,FC Barcelona,1,RCD Mallorca,11,3:0,MS,38,0:1,Kopfball,0,0
Lionel Messi,1036322,2010,LaLiga,26,A,FC Barcelona,1,FC Valencia,3,1:0,MS,77,0:1,Linksschuss,0,0
Lionel Messi,1083668,2010,UEFA Champions League,Achtelfinale,H,FC Barcelona,,FC Arsenal,,3:1,MS,49,1:0,Linksschuss,0,0
Lionel Messi,1083668,2010,UEFA Champions League,Achtelfinale,H,FC Barcelona,,FC Arsenal,,3:1,MS,72,3:1,Elfmeter,0,0
Lionel Messi,1036375,2010,LaLiga,31,H,FC Barcelona,1,UD Almería,20,3:1,MS,52,1:1,Elfmeter,0,0
Lionel Messi,1036375,2010,LaLiga,31,H,FC Barcelona,1,UD Almería,20,3:1,MS,90,3:1,Linksschuss,0,1
Lionel Messi,1088516,2010,UEFA Champions League,Viertelfinale,A,FC Barcelona,,Shakhtar Donetsk,,1:0,MS,42,0:1,Linksschuss,0,0
Lionel Messi,1036385,2010,LaLiga,32,A,FC Barcelona,1,Real Madrid,2,1:1,MS,53,0:1,Elfmeter,0,0
Lionel Messi,1036396,2010,LaLiga,33,H,FC Barcelona,1,CA Osasuna,16,2:0,MS,87,2:0,Rechtsschuss,0,0
Lionel Messi,1093389,2010,UEFA Champions League,Halbfinale,A,FC Barcelona,,Real Madrid,,2:0,MS,76,0:1,Linksschuss,0,0
Lionel Messi,1093389,2010,UEFA Champions League,Halbfinale,A,FC Barcelona,,Real Madrid,,2:0,MS,87,0:2,Sololauf,0,0
Lionel Messi,1102390,2010,UEFA Champions League,Finale,H,FC Barcelona,,Manchester United,,3:1,MS,54,2:1,Linksschuss,0,0
Lionel Messi,1122444,2011,Supercopa,Finale,A,FC Barcelona,,Real Madrid,,2:2,MS,45,1:2,Linksschuss,0,0
Lionel Messi,1122445,2011,Supercopa,Finale,H,FC Barcelona,,Real Madrid,,3:2,MS,44,2:1,Rechtsschuss,0,0
